hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
32, 0.00000, 1185.46, 790.301, 1206.19, 643.114, 1323.29, 734.664, 0, 0
32, 900.00000, 1150.88, 765.907, 1169.81, 628.527, 1279.32, 713.611, 0, 0
32, 1800.00000, 1183.66, 786.006, 1203.98, 645.073, 1315.88, 733.136, 0, 0
32, 2700.00000, 1342.07, 821.81, 1367.11, 685.021, 1473.05, 775.105, 0, 0
33, 0.00000, 1420.01, 874.561, 1446.13, 730.091, 1558.18, 824.95, 0, 0
33, 900.00000, 1402.76, 862.565, 1428.09, 723.376, 1535.97, 814.909, 0, 0
33, 1800.00000, 1442.46, 842.544, 1472.97, 727.484, 1557.36, 811.44, 0, 0
33, 2700.00000, 1389.34, 806.081, 1420.42, 704.625, 1492.74, 782.268, 0, 0
34, 0.00000, 1399.76, 813.131, 1428.73, 711.404, 1502.34, 787.355, 0, 0
34, 900.00000, 1448.18, 847.501, 1478, 734.852, 1560.65, 817.001, 0, 0
34, 1800.00000, 1438.21, 839.35, 1465.6, 730.637, 1546.05, 808.718, 0, 0
34, 2700.00000, 1299.58, 824.165, 1343.27, 755.481, 1380.91, 827.665, 0, 0
35, 0.00000, 1289.88, 816.642, 1333.97, 751.223, 1368.58, 822.119, 0, 0
35, 900.00000, 1273.43, 808.304, 1316.04, 745.925, 1348.76, 814.017, 0, 0
35, 1800.00000, 1261.71, 820.748, 1312.38, 760.949, 1338.83, 834.737, 0, 0
35, 2700.00000, 1241.07, 808.09, 1290.62, 750.814, 1315.45, 822.361, 0, 0
36, 0.00000, 1203.14, 785.454, 1251.32, 732.678, 1272.94, 800.797, 0, 0
36, 900.00000, 1279.8, 834.009, 1329.06, 765.786, 1363.51, 842.559, 0, 0
36, 1800.00000, 1266.74, 824.795, 1317.19, 760.466, 1347.68, 836.321, 0, 0
36, 2700.00000, 1144.46, 821.193, 1197.76, 761.291, 1222.99, 837.4, 0, 0
37, 0.00000, 1121.12, 806.029, 1173.5, 752.944, 1193.28, 824.856, 0, 0
37, 900.00000, 1148.58, 819.206, 1202.04, 762.568, 1224.36, 837.188, 0, 0
37, 1800.00000, 1202.26, 833.855, 1256.26, 776.448, 1278.98, 851.924, 0, 0
37, 2700.00000, 1315.38, 906.46, 1371.34, 832.756, 1407.19, 918.073, 0, 0
38, 0.00000, 1278.68, 885.393, 1333.74, 815.913, 1366.38, 898.334, 0, 0
38, 900.00000, 1247.81, 865.729, 1301.87, 798.384, 1333.17, 878.875, 0, 0
38, 1800.00000, 1227.1, 851.34, 1280.21, 789.259, 1307.42, 866.294, 0, 0
38, 2700.00000, 1207.92, 852.189, 1261.55, 791.416, 1287.37, 868.246, 0, 0
39, 0.00000, 1214.92, 855.551, 1269.79, 795.277, 1294.55, 872.933, 0, 0
39, 900.00000, 1182.79, 835.793, 1235.88, 779.7, 1257.91, 853.717, 0, 0
39, 1800.00000, 1070.13, 843.751, 1123.36, 780.956, 1151.13, 858.447, 0, 0
39, 2700.00000, 1069.43, 846.126, 1121.11, 780.023, 1152.52, 857.826, 0, 0
40, 0.00000, 1085.62, 856.552, 1139.02, 788.461, 1171.29, 868.757, 0, 0
40, 900.00000, 1075.38, 851.69, 1129.02, 786.064, 1159.03, 865.335, 0, 0
40, 1800.00000, 1062.06, 844.296, 1114.95, 782.183, 1142.3, 859.043, 0, 0
40, 2700.00000, 922.076, 844.459, 962.431, 751.693, 1022.59, 833.024, 0, 0
41, 0.00000, 936.73, 852.407, 979.327, 760.929, 1037.25, 843.558, 0, 0
41, 900.00000, 949.196, 869.262, 988.473, 768.512, 1056.09, 852.902, 0, 0
41, 1800.00000, 854.125, 894.624, 881.712, 749.584, 993.528, 845.995, 0, 0
41, 2700.00000, 833.315, 881.273, 861.329, 736.832, 972.412, 833.313, 0, 0
42, 0.00000, 827.297, 884.56, 854.821, 731.962, 973.212, 832.098, 0, 0
42, 900.00000, 920.671, 956.152, 950.875, 779.17, 1089.04, 893.818, 0, 0
42, 1800.00000, 935.441, 964.897, 967.318, 792.583, 1100.61, 906.346, 0, 0
42, 2700.00000, 1113.77, 1026.92, 1135.71, 799.069, 1322.07, 931.995, 0, 0
43, 0.00000, 1114.12, 1023.24, 1137.78, 796.404, 1322.4, 930.306, 0, 0
43, 900.00000, 1068.62, 988.906, 1092.76, 767.324, 1272.58, 899.019, 0, 0
43, 1800.00000, 1207.84, 1031.02, 1231.44, 787.961, 1430.14, 929.934, 0, 0
43, 2700.00000, 1230.17, 1046.86, 1254.7, 799.848, 1456.35, 944.6, 0, 0
44, 0.00000, 1209.66, 1033.41, 1233.66, 789.957, 1432.5, 932.476, 0, 0
44, 900.00000, 1199.7, 1021.14, 1225.31, 784.661, 1417.3, 925.072, 0, 0
44, 1800.00000, 1187.22, 1014.96, 1213.61, 778.602, 1405.1, 919.633, 0, 0
44, 2700.00000, 1260.49, 1011.6, 1288.81, 778.841, 1476.23, 919.749, 0, 0
45, 0.00000, 1305.12, 1046.12, 1335.3, 803.048, 1530.72, 950.729, 0, 0
45, 900.00000, 1250.1, 1000.42, 1276.3, 767.337, 1465.05, 906.568, 0, 0
45, 1800.00000, 1295.61, 979.362, 1322.54, 759.316, 1499.64, 892.666, 0, 0
45, 2700.00000, 1251.67, 948.991, 1278.94, 730.565, 1454.47, 863.396, 0, 0
46, 0.00000, 1208.21, 914.754, 1233.15, 704.189, 1403.03, 831.07, 0, 0
46, 900.00000, 1239.38, 938.896, 1265.61, 722.036, 1440.3, 853.18, 0, 0
46, 1800.00000, 1246.29, 942.598, 1272.54, 725.351, 1447.55, 856.708, 0, 0
46, 2700.00000, 1267.99, 925.136, 1292.18, 707.906, 1468.21, 837.472, 0, 0
47, 0.00000, 1253.95, 912.423, 1279.88, 701.103, 1449.92, 829.22, 0, 0
47, 900.00000, 1226.85, 894.89, 1251.47, 688.02, 1418.31, 812.777, 0, 0
47, 1800.00000, 1501.21, 912.748, 1528.19, 708.323, 1691.74, 833.906, 0, 0
47, 2700.00000, 1468.42, 891.101, 1494.46, 689.056, 1656.42, 812.636, 0, 0
48, 0.00000, 1463.24, 887.538, 1490.2, 684.891, 1652.22, 809.564, 0, 0
