hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
29, 1800.00000, 2558.5, 1904.02, 2325.48, 1669.42, 2645.16, 1584.92, 0, 0
29, 2700.00000, 2534.82, 1874.73, 2308.6, 1644.17, 2621.38, 1563.54, 0, 0
30, 0.00000, 2435.67, 1785.48, 2218.82, 1548.05, 2532.86, 1478.97, 0, 0
30, 900.00000, 2519.96, 1870.09, 2293.31, 1619.34, 2623.78, 1548.43, 0, 0
30, 1800.00000, 2546.3, 1858.71, 2326.79, 1657.02, 2611.21, 1567.77, 0, 0
30, 2700.00000, 2266.69, 1748.73, 2061.39, 1545.4, 2340.13, 1469.26, 0, 0
31, 0.00000, 2347.13, 1827.16, 2136.68, 1606.04, 2433.39, 1534.35, 0, 0
31, 900.00000, 2389.9, 1868.82, 2177.93, 1633.14, 2488.03, 1567.41, 0, 0
31, 1800.00000, 2177.77, 1746.12, 1979.19, 1535.71, 2260.7, 1468.93, 0, 0
31, 2700.00000, 2191.47, 1759.69, 1993.94, 1533.06, 2288.97, 1475.31, 0, 0
32, 0.00000, 2296.77, 1836.43, 2098.39, 1623.62, 2381.88, 1558.22, 0, 0
32, 900.00000, 2201.12, 1744.85, 2012.32, 1533.02, 2290.17, 1475.42, 0, 0
32, 1800.00000, 2239, 1772.78, 2050.56, 1556.36, 2332.2, 1501.37, 0, 0
32, 2700.00000, 2239.14, 1880.2, 2035.99, 1642.81, 2343.16, 1585.57, 0, 0
33, 0.00000, 2372.26, 2003.44, 2151.07, 1774.91, 2459.58, 1697.62, 0, 0
33, 900.00000, 2323.57, 1952.62, 2111.91, 1722.86, 2416.72, 1654.44, 0, 0
33, 1800.00000, 2270.1, 1947.03, 2068.5, 1707.56, 2376.69, 1652.7, 0, 0
33, 2700.00000, 2170.28, 1840.25, 1976.79, 1630.8, 2254.92, 1567.95, 0, 0
34, 0.00000, 2180.4, 1855.36, 1987.2, 1633.78, 2275.7, 1577.25, 0, 0
34, 900.00000, 2265.12, 1936.87, 2062.91, 1709.5, 2360.92, 1648.07, 0, 0
34, 1800.00000, 2234.65, 1915.04, 2032.91, 1679.72, 2337.57, 1622.67, 0, 0
34, 2700.00000, 2249.64, 1991.12, 2035.81, 1724.84, 2373.33, 1672.79, 0, 0
35, 0.00000, 2232.15, 1960.36, 2027.13, 1711.13, 2345.48, 1658.19, 0, 0
35, 900.00000, 2209.48, 1899.99, 2020.69, 1704.49, 2284.39, 1638.74, 0, 0
35, 1800.00000, 2206.99, 1988.62, 1997.6, 1732.19, 2324.37, 1679.07, 0, 0
35, 2700.00000, 2172.74, 1962.72, 1964.98, 1701.82, 2294.8, 1652.34, 0, 0
36, 0.00000, 2121.59, 1892.06, 1923.9, 1673.01, 2212.44, 1611.33, 0, 0
36, 900.00000, 2258.24, 2051.73, 2038.09, 1787.53, 2376.97, 1728.97, 0, 0
36, 1800.00000, 2239.67, 2018.24, 2029.06, 1772.58, 2347.12, 1713.01, 0, 0
36, 2700.00000, 2111.97, 2015.34, 1899.44, 1755.92, 2230.37, 1701.57, 0, 0
37, 0.00000, 2137.65, 1979.24, 1928.2, 1718.23, 2258.97, 1667.35, 0, 0
37, 900.00000, 2188.13, 2020.33, 1974.66, 1762.95, 2304.29, 1706.77, 0, 0
37, 1800.00000, 2235.8, 2055.65, 2017.45, 1815.54, 2334.56, 1746.5, 0, 0
37, 2700.00000, 2414.11, 2250.52, 2175.18, 1981.46, 2527.66, 1909.07, 0, 0
38, 0.00000, 2352.86, 2186.94, 2120.72, 1923.18, 2465.21, 1854.02, 0, 0
38, 900.00000, 2300.74, 2142.52, 2073.33, 1865.28, 2427.13, 1806.96, 0, 0
38, 1800.00000, 2266.42, 2091.03, 2044.84, 1840.51, 2372.59, 1773.87, 0, 0
38, 2700.00000, 2260.16, 2099.77, 2033.71, 1844.1, 2368.34, 1775.82, 0, 0
39, 0.00000, 2273.55, 2101.5, 2049.22, 1854.58, 2375.22, 1783.77, 0, 0
39, 900.00000, 2209.89, 2053.15, 1986.79, 1789.73, 2326.47, 1728.23, 0, 0
39, 1800.00000, 2281.99, 2093.98, 2057.48, 1838.25, 2391.21, 1771.69, 0, 0
39, 2700.00000, 2291.77, 2087.69, 2071.16, 1858.64, 2379.83, 1782.11, 0, 0
40, 0.00000, 2318.78, 2129.19, 2089.03, 1881.64, 2418.29, 1806.44, 0, 0
40, 900.00000, 2293.16, 2119.83, 2059.1, 1855.79, 2404.8, 1785.1, 0, 0
40, 1800.00000, 2269.91, 2098.61, 2040.11, 1833.15, 2384.91, 1766.86, 0, 0
40, 2700.00000, 2367.53, 2070.16, 2145.09, 1801.55, 2488.94, 1743.21, 0, 0
41, 0.00000, 2412.66, 2095.79, 2189.58, 1860.49, 2504.9, 1784.94, 0, 0
41, 900.00000, 2441, 2129.87, 2218.22, 1891.7, 2535.87, 1817.86, 0, 0
41, 1800.00000, 2642.82, 2157.8, 2408.8, 1894.09, 2754.19, 1823.28, 0, 0
41, 2700.00000, 2625.77, 2135.78, 2395.18, 1881.58, 2730.62, 1808.99, 0, 0
42, 0.00000, 2631.62, 2170.85, 2397.98, 1890.25, 2757.81, 1828.22, 0, 0
42, 900.00000, 2808.25, 2368.14, 2559.26, 2072.28, 2939.98, 2004.57, 0, 0
42, 1800.00000, 2846.56, 2370.31, 2597.37, 2132.29, 2928.1, 2035.5, 0, 0
42, 2700.00000, 3105.31, 2422.49, 2858.03, 2183.7, 3188.47, 2088.94, 0, 0
43, 0.00000, 3107.41, 2439.89, 2857.87, 2177.18, 3210.16, 2092.43, 0, 0
43, 900.00000, 3047.19, 2372.43, 2802.03, 2119.41, 3143.73, 2033.6, 0, 0
43, 1800.00000, 3162.24, 2420.7, 2909.41, 2180.96, 3243.44, 2081.87, 0, 0
43, 2700.00000, 3203, 2471.45, 2944.64, 2227.84, 3284.79, 2125.89, 0, 0
44, 0.00000, 3163.56, 2466.81, 2901.58, 2186.64, 3275.2, 2099.85, 0, 0
44, 900.00000, 3163.56, 2430.61, 2908.41, 2190.59, 3243.85, 2089.63, 0, 0
44, 1800.00000, 3132.13, 2433.56, 2867.89, 2158.93, 3237.85, 2067.4, 0, 0
44, 2700.00000, 3129.63, 2419.37, 2860.68, 2164.64, 3215.76, 2059.09, 0, 0
45, 0.00000, 3214.49, 2507.47, 2945.71, 2257.67, 3296.43, 2149.8, 0, 0
45, 900.00000, 3101.45, 2409.1, 2831.23, 2119.29, 3217.32, 2030.17, 0, 0
45, 1800.00000, 3188.15, 2347.58, 2930.39, 2086.98, 3284.96, 1994.05, 0, 0
45, 2700.00000, 3134.85, 2291.69, 2876.79, 2035.86, 3227.37, 1940.29, 0, 0
46, 0.00000, 3071.75, 2216.91, 2823.23, 1974.67, 3157.27, 1880.56, 0, 0
46, 900.00000, 3125.19, 2286.17, 2867.85, 2030.24, 3218.16, 1935.34, 0, 0
46, 1800.00000, 3134.83, 2308.81, 2872.48, 2037, 3239.05, 1945.7, 0, 0
46, 2700.00000, 3197.79, 2271, 2938.67, 2007.6, 3296.34, 1914.89, 0, 0
47, 0.00000, 3177.35, 2249.13, 2919.86, 1986.88, 3275.72, 1895.01, 0, 0
47, 900.00000, 3137.54, 2193.12, 2881.85, 1961.8, 3210.03, 1856.03, 0, 0
47, 1800.00000, 3110.82, 2213.58, 2855.47, 1979.25, 3186.08, 1875.28, 0, 0
47, 2700.00000, 3059.9, 2161.1, 2805.69, 1929.48, 3133.39, 1825.14, 0, 0
48, 0.00000, 3051.52, 2169.77, 2796.15, 1913.6, 3145.68, 1820.53, 0, 0
