hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
27, 900.00000, 1178.13, 743.946, 1200.83, 569.002, 1340.98, 676.135, 0, 0
27, 1800.00000, 1112.25, 722.417, 1133.02, 554.014, 1268.48, 656.205, 0, 0
27, 2700.00000, 1181.22, 770.938, 1204.43, 589.125, 1350.28, 700.137, 0, 0
28, 0.00000, 1165.94, 760.942, 1188.09, 579.17, 1334.44, 689.238, 0, 0
28, 900.00000, 1148.88, 751.831, 1170.19, 569.784, 1317.19, 679.256, 0, 0
28, 1800.00000, 1202.67, 787.675, 1225.57, 599.518, 1377.07, 713.43, 0, 0
28, 2700.00000, 1195.05, 758.516, 1214.86, 575.913, 1363.09, 684.368, 0, 0
29, 0.00000, 1214.5, 767.526, 1236.18, 588.9, 1380.04, 696.99, 0, 0
29, 900.00000, 1196.89, 757.366, 1217.4, 578.96, 1361.65, 685.932, 0, 0
29, 1800.00000, 1198.41, 785.698, 1218.85, 595.94, 1372.97, 708.523, 0, 0
29, 2700.00000, 1185.4, 773.484, 1205.64, 589.222, 1355.09, 698.88, 0, 0
30, 0.00000, 1132.01, 735.865, 1149.97, 558.99, 1294.17, 662.983, 0, 0
30, 900.00000, 1182.03, 769.638, 1201.65, 584.527, 1352.15, 694.067, 0, 0
30, 1800.00000, 1194.33, 778.381, 1213.96, 591.234, 1366.22, 701.806, 0, 0
30, 2700.00000, 1146.38, 727.466, 1167.5, 568.395, 1294.7, 666.223, 0, 0
31, 0.00000, 1189.54, 755.624, 1210.54, 587.971, 1345.23, 689.978, 0, 0
31, 900.00000, 1224.74, 777.507, 1245.48, 604.828, 1384.66, 709.129, 0, 0
31, 1800.00000, 1143.85, 729.091, 1166.14, 588.063, 1277.13, 677.877, 0, 0
31, 2700.00000, 1172.33, 745.88, 1193.42, 604.963, 1304.91, 693.683, 0, 0
32, 0.00000, 1242.69, 786.424, 1263.8, 642.93, 1377.51, 732.955, 0, 0
32, 900.00000, 1208.12, 762.232, 1227.48, 628.561, 1333.57, 712.16, 0, 0
32, 1800.00000, 1240.94, 782.331, 1261.61, 645.106, 1370.12, 731.617, 0, 0
32, 2700.00000, 1126.32, 806.704, 1151.39, 674.966, 1252.94, 762.55, 0, 0
33, 0.00000, 1204.62, 858.556, 1230.75, 718.999, 1338.55, 811.406, 0, 0
